,start_bin,end_bin,weight
0,0.0,1.0,0.03497019166849896
1,1.0,2.0,0.05851508193833652
2,2.0,3.0,0.11295713962850039
3,3.0,4.0,0.19038486136224092
4,4.0,5.0,0.29061757921540393
5,5.0,6.0,0.3945006581797482
6,6.0,7.0,0.5037670292351071
7,7.0,8.0,0.6233280796863913
8,8.0,9.0,0.7963454475507157
9,9.0,10.0,0.8351328209604408
10,10.0,15.0,1.1611049941485656
11,15.0,20.0,1.5799008891360193
12,20.0,25.0,1.9551307928663875
13,25.0,30.0,2.244598818612816
14,30.0,35.0,2.627622814963418
15,35.0,40.0,2.7478338948596557
16,40.0,45.0,2.861299427424085
17,45.0,50.0,3.1736114669187674
18,50.0,55.0,3.341665900066276
19,55.0,60.0,3.455499815514632
20,60.0,65.0,3.6823388690173555
21,65.0,70.0,3.6329154169368785
22,70.0,75.0,3.68301117270486
23,75.0,80.0,3.879561264764471
24,80.0,85.0,3.905533790632684
25,85.0,90.0,3.8672183388961923
26,90.0,95.0,3.5962160897890114
27,95.0,100.0,1.862112803412618
28,100.0,inf,0.0
